day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
9,6,2013,30.0,80.0,15.0,0.0,83.1,7.9,34.5,3.5,10.0,3.7,fire,1
10,6,2013,29.0,74.0,15.0,1.1,59.5,4.7,8.2,0.8,4.6,0.3,not fire,1
11,6,2013,30.0,73.0,14.0,0.0,79.2,6.5,16.6,2.1,6.6,1.2,not fire,1
12,6,2013,31.0,72.0,14.0,0.0,84.2,8.3,25.2,3.8,9.1,3.9,fire,1
13,9,2013,29.0,49.0,19.0,0.0,88.6,11.5,33.4,9.1,12.4,10.3,fire,1
14,6,2013,28.0,81.0,15.0,0.0,84.6,12.6,41.5,4.3,14.3,5.7,fire,1
15,6,2013,32.0,51.0,13.0,0.0,88.7,16.0,50.2,6.9,17.8,9.8,fire,1
16,6,2013,33.0,26.0,13.0,0.0,93.9,21.2,59.2,14.2,22.4,19.3,fire,1
17,6,2013,34.0,44.0,12.0,0.0,92.5,25.2,63.3,11.2,26.2,17.5,fire,1
18,6,2013,36.0,33.0,13.0,0.1,90.6,25.8,77.8,9.0,28.2,15.4,fire,1
19,6,2013,29.0,41.0,8.0,0.1,83.9,24.9,86.0,2.7,28.9,5.6,fire,1
20,6,2013,34.0,58.0,13.0,0.2,79.5,18.7,88.0,2.1,24.4,3.8,not fire,1
21,6,2013,35.0,34.0,17.0,0.0,92.2,23.6,97.3,13.8,29.4,21.6,fire,1
22,6,2013,33.0,64.0,13.0,0.0,88.9,26.1,106.3,7.1,32.4,13.7,fire,1
23,6,2013,35.0,56.0,14.0,0.0,89.0,29.4,115.6,7.5,36.0,15.2,fire,1
24,6,2013,26.0,49.0,6.0,2.0,61.3,11.9,28.1,0.6,11.9,0.4,not fire,1
25,6,2013,28.0,70.0,15.0,0.0,79.9,13.8,36.1,2.4,14.1,3.0,not fire,1
26,6,2013,30.0,65.0,14.0,0.0,85.4,16.0,44.5,4.5,16.9,6.5,fire,1
27,6,2013,28.0,87.0,15.0,4.4,41.1,6.5,8.0,0.1,6.2,0.0,not fire,1
28,6,2013,27.0,87.0,29.0,0.5,45.9,3.5,7.9,0.4,3.4,0.2,not fire,1
29,6,2013,24.0,54.0,18.0,0.1,79.7,4.3,15.2,1.7,5.1,0.7,not fire,1
30,6,2013,24.0,64.0,15.0,0.2,67.3,3.8,16.5,1.2,4.8,0.5,not fire,1
1,6,2013,29.0,57.0,18.0,0.0,65.7,3.4,7.6,1.3,3.4,0.5,not fire,0
3,6,2013,29.0,61.0,13.0,1.3,64.4,4.1,7.6,1.0,3.9,0.4,not fire,0
2,6,2013,26.0,82.0,22.0,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire,0
4,6,2013,25.0,89.0,13.0,2.5,28.6,1.3,6.9,0.0,1.7,0.0,not fire,0
4,6,2013,27.0,77.0,16.0,0.0,64.8,3.0,14.2,1.2,3.9,0.5,not fire,0
5,6,2013,31.0,67.0,14.0,0.0,82.6,5.8,22.2,3.1,7.0,2.5,fire,0
4,6,2013,33.0,54.0,13.0,0.0,88.2,9.9,30.5,6.4,10.9,7.2,fire,0
6,6,2013,30.0,73.0,15.0,0.0,86.6,12.1,38.3,5.6,13.5,7.1,fire,0
8,6,2013,25.0,88.0,13.0,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire,0
11,6,2013,28.0,79.0,12.0,0.0,73.2,9.5,46.3,1.3,12.6,0.9,not fire,0
23,6,2013,31.0,65.0,14.0,0.0,84.5,12.5,54.3,4.0,15.8,5.6,fire,0
3,6,2013,26.0,81.0,19.0,0.0,84.0,13.8,61.4,4.8,17.7,7.1,fire,0
4,6,2013,27.0,84.0,21.0,1.2,50.0,6.7,17.0,0.5,6.7,0.2,not fire,0
16,6,2013,30.0,78.0,20.0,0.5,59.0,4.6,7.8,1.0,4.4,0.4,not fire,0
17,6,2013,28.0,80.0,17.0,3.1,49.4,3.0,7.4,0.4,3.0,0.1,not fire,0
15,6,2013,29.0,89.0,13.0,0.7,36.1,1.7,7.6,0.0,2.2,0.0,not fire,0
12,6,2013,30.0,89.0,16.0,0.6,37.3,1.1,7.8,0.0,1.6,0.0,not fire,0
13,6,2013,31.0,78.0,14.0,0.3,56.9,1.9,8.0,0.7,2.4,0.2,not fire,0
11,6,2013,31.0,55.0,16.0,0.1,79.9,4.5,16.0,2.5,5.3,1.4,not fire,0
21,6,2013,30.0,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire,0
22,6,2013,30.0,78.0,14.0,0.0,81.0,6.3,31.6,2.6,8.4,2.2,fire,0
23,6,2013,31.0,67.0,17.0,0.1,79.1,7.0,39.5,2.4,9.7,2.3,not fire,0
24,6,2013,32.0,62.0,18.0,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire,0
25,6,2013,32.0,66.0,17.0,0.0,85.9,11.2,55.8,5.6,14.9,7.5,fire,0
26,6,2013,31.0,64.0,15.0,0.0,86.7,14.2,63.8,5.7,18.3,8.4,fire,0
27,6,2013,31.0,64.0,18.0,0.0,86.8,17.8,71.8,6.7,21.6,10.6,fire,0
28,6,2013,34.0,53.0,18.0,0.0,89.0,21.6,80.3,9.2,25.8,15.0,fire,0
29,6,2013,32.0,55.0,14.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,fire,0
30,6,2013,32.0,47.0,13.0,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire,0
2,6,2013,33.0,50.0,14.0,0.0,88.7,22.9,92.8,7.2,28.3,12.9,fire,0
3,7,2013,29.0,68.0,19.0,1.0,59.9,2.5,8.6,1.1,2.9,0.4,not fire,0
4,7,2013,27.0,75.0,19.0,1.2,55.7,2.4,8.3,0.8,2.8,0.3,not fire,0
5,7,2013,32.0,76.0,20.0,0.7,63.1,2.6,9.2,1.3,3.0,0.5,not fire,0
6,7,2013,33.0,78.0,17.0,0.0,80.1,4.6,18.5,2.7,5.7,1.7,not fire,0
7,7,2013,33.0,66.0,14.0,0.0,85.9,7.6,27.9,4.8,9.1,4.9,fire,0
8,7,2013,32.0,63.0,14.0,0.0,87.0,10.9,37.0,5.6,12.5,6.8,fire,0
9,7,2013,35.0,64.0,18.0,0.2,80.0,9.7,40.4,2.8,12.1,3.2,not fire,0
10,7,2013,33.0,68.0,19.0,0.0,85.6,12.5,49.8,6.0,15.4,8.0,fire,0
11,7,2013,32.0,68.0,14.0,1.4,66.6,7.7,9.2,1.1,7.4,0.6,not fire,0
23,7,2013,33.0,69.0,13.0,0.7,66.6,6.0,9.3,1.1,5.8,0.5,not fire,0
3,7,2013,33.0,76.0,14.0,0.0,81.1,8.1,18.7,2.6,8.1,2.2,not fire,0
13,7,2013,31.0,75.0,13.0,0.1,75.1,7.9,27.7,1.5,9.2,0.9,not fire,0
14,7,2013,34.0,81.0,15.0,0.0,81.8,9.7,37.2,3.0,11.7,3.4,not fire,0
15,7,2013,34.0,61.0,13.0,0.6,73.9,7.8,22.9,1.4,8.4,0.8,not fire,0
16,7,2013,30.0,80.0,19.0,0.4,60.7,5.2,17.0,1.1,5.9,0.5,not fire,0
17,7,2013,28.0,76.0,21.0,0.0,72.6,7.0,25.5,0.7,8.3,0.4,not fire,0
23,7,2013,29.0,70.0,14.0,0.0,82.8,9.4,34.1,3.2,11.1,3.6,fire,0
4,7,2013,31.0,68.0,14.0,0.0,85.4,12.1,43.1,4.6,14.2,6.0,fire,0
21,7,2013,35.0,59.0,17.0,0.0,88.1,12.0,52.8,7.7,18.2,10.9,fire,0
22,7,2013,33.0,65.0,15.0,0.1,81.4,12.3,62.1,2.8,16.5,4.0,fire,0
2,7,2013,33.0,70.0,17.0,0.0,85.4,18.5,71.5,5.2,22.4,8.8,fire,0
3,7,2013,28.0,79.0,18.0,0.1,73.4,16.4,79.9,1.8,21.7,2.8,not fire,0
24,7,2013,27.0,66.0,22.0,0.4,68.2,10.5,71.3,1.8,15.4,2.1,not fire,0
25,7,2013,28.0,78.0,16.0,0.1,70.0,9.6,79.7,1.4,14.7,1.3,not fire,0
26,7,2013,31.0,65.0,18.0,0.0,84.3,12.5,88.7,4.8,18.5,7.3,fire,0
27,7,2013,36.0,53.0,19.0,0.0,89.2,17.1,98.6,10.0,23.9,15.3,fire,0
3,7,2013,36.0,48.0,13.0,0.0,90.3,22.2,108.5,8.7,29.4,15.3,fire,0
5,7,2013,33.0,76.0,15.0,0.0,86.5,24.4,117.8,5.6,32.1,11.3,fire,0
9,7,2013,32.0,73.0,15.0,0.0,86.6,26.7,127.0,5.6,35.0,11.9,fire,0
12,7,2013,31.0,79.0,15.0,0.0,85.4,28.5,136.0,4.7,37.4,10.7,fire,0
23,7,2013,35.0,64.0,17.0,0.0,87.2,31.9,145.7,6.8,41.2,15.7,fire,0
4,8,2013,36.0,45.0,14.0,0.0,78.8,4.8,10.2,2.0,4.7,0.9,not fire,0
5,8,2013,35.0,55.0,12.0,0.4,78.0,5.8,10.0,1.7,5.5,0.8,not fire,0
6,8,2013,35.0,63.0,14.0,0.3,76.6,5.7,10.0,1.7,5.5,0.8,not fire,0
7,8,2013,34.0,69.0,13.0,0.0,85.0,8.2,19.8,4.0,8.2,3.9,fire,0
2,8,2013,34.0,65.0,13.0,0.0,86.8,11.1,29.7,5.2,11.5,6.1,fire,0
1,8,2013,32.0,75.0,14.0,0.0,86.4,13.0,39.1,5.2,14.2,6.8,fire,0
9,8,2013,32.0,69.0,16.0,0.0,86.5,15.5,48.6,5.5,17.2,8.0,fire,0
6,8,2013,32.0,60.0,18.0,0.3,77.1,11.3,47.0,2.2,14.1,2.6,not fire,0
4,8,2013,35.0,59.0,17.0,0.0,87.4,14.8,57.0,6.9,17.9,9.9,fire,0
3,8,2013,35.0,55.0,14.0,0.0,88.9,18.6,67.0,7.4,21.9,11.6,fire,0
12,8,2013,35.0,63.0,13.0,0.0,88.9,21.7,77.0,7.1,25.5,12.1,fire,0
14,8,2013,35.0,51.0,13.0,0.3,81.3,15.6,75.1,2.5,20.7,4.2,not fire,0
15,8,2013,35.0,63.0,15.0,0.0,87.0,19.0,85.1,5.9,24.4,10.2,fire,0
17,8,2013,33.0,66.0,14.0,0.0,87.0,21.7,94.7,5.7,27.2,10.6,fire,0
18,8,2013,36.0,55.0,13.0,0.3,82.4,15.6,92.5,3.7,22.0,6.3,fire,0
19,8,2013,36.0,61.0,18.0,0.3,80.2,11.7,90.4,2.8,17.6,4.2,fire,0
14,8,2013,37.0,52.0,18.0,0.0,89.3,16.0,100.7,9.7,22.9,14.6,fire,0
18,8,2013,36.0,54.0,18.0,0.0,89.4,20.0,110.9,9.7,27.5,16.1,fire,0
12,8,2013,35.0,62.0,19.0,0.0,89.4,23.2,120.9,9.7,31.3,17.2,fire,0
23,8,2013,35.0,68.0,19.0,0.0,88.3,25.9,130.6,8.8,34.7,16.8,fire,0
22,8,2013,36.0,58.0,19.0,0.0,88.6,29.6,141.1,9.2,38.8,18.4,fire,0
24,8,2013,36.0,55.0,18.0,0.0,89.1,33.5,151.3,9.9,43.1,20.4,fire,0
21,8,2013,36.0,53.0,16.0,0.0,89.5,37.6,161.5,10.4,47.5,22.3,fire,0
25,8,2013,34.0,64.0,14.0,0.0,88.9,40.5,171.3,9.0,50.9,20.9,fire,0
28,8,2013,35.0,60.0,15.0,0.0,88.9,43.9,181.3,8.2,54.7,20.3,fire,0
23,8,2013,31.0,78.0,18.0,0.0,85.8,45.6,190.6,4.7,57.1,13.7,fire,0
29,8,2013,33.0,82.0,21.0,0.0,84.9,47.0,200.2,4.4,59.3,13.2,fire,0
22,8,2013,34.0,64.0,16.0,0.0,89.4,50.2,210.4,7.3,62.9,19.9,fire,0
23,8,2013,35.0,48.0,18.0,0.0,90.1,54.2,220.4,12.5,67.4,30.2,fire,0
23,8,2013,35.0,70.0,17.0,0.8,72.7,25.2,180.4,1.7,37.4,4.2,not fire,0
30,8,2013,28.0,80.0,21.0,16.8,52.5,8.7,8.7,0.6,8.3,0.3,not fire,0
4,9,2013,25.0,76.0,17.0,7.2,46.0,1.3,7.5,0.2,1.8,0.1,not fire,0
5,9,2013,22.0,86.0,15.0,10.1,30.5,0.7,7.0,0.0,1.1,0.0,not fire,0
6,9,2013,25.0,78.0,15.0,3.8,42.6,1.2,7.5,0.1,1.7,0.0,not fire,0
4,9,2013,29.0,73.0,17.0,0.1,68.4,1.9,15.7,1.4,2.9,0.5,not fire,0
6,9,2013,29.0,75.0,16.0,0.0,80.8,3.4,24.0,2.8,5.1,1.7,fire,0
7,9,2013,29.0,74.0,19.0,0.1,75.8,3.6,32.2,2.1,5.6,0.9,not fire,0
8,9,2013,31.0,71.0,17.0,0.3,69.6,3.2,30.1,1.5,5.1,0.6,not fire,0
9,9,2013,30.0,73.0,17.0,0.9,62.0,2.6,8.4,1.1,3.0,0.4,not fire,0
7,9,2012,34.3,74.8,14.9,0.0,82.0,22.6,97.8,4.6,25.3,7.0,not fire,0
21,6,2013,30.2,39.6,17.9,0.0,88.7,20.6,72.7,5.9,21.1,7.3,not fire,1
30,7,2012,32.2,48.4,14.1,0.0,90.6,19.4,87.6,7.6,22.1,8.6,not fire,1
15,9,2012,29.8,61.0,15.5,1.0,84.4,10.6,53.8,4.0,12.8,4.7,not fire,1
10,9,2013,34.6,60.8,15.2,0.0,86.9,27.2,96.3,5.2,27.9,7.8,not fire,0
28,6,2012,28.9,73.4,17.7,0.0,76.4,10.8,55.7,5.2,13.2,5.6,not fire,0
2,6,2013,28.1,56.8,17.5,0.5,87.1,9.0,46.1,7.9,10.9,7.2,not fire,0
26,8,2012,34.8,90.0,13.2,0.0,78.0,18.9,77.7,2.0,20.7,4.5,not fire,1
30,6,2012,37.2,50.1,13.5,1.0,90.2,32.4,128.8,7.3,34.9,10.4,not fire,0
12,9,2013,33.1,75.1,15.9,1.0,77.6,18.0,70.1,2.8,19.2,4.9,not fire,1
20,6,2012,32.0,60.6,12.0,0.0,84.6,21.3,82.4,5.7,22.7,7.4,not fire,0
9,9,2012,24.9,73.4,11.3,0.0,75.9,14.7,62.2,3.5,16.3,4.9,not fire,1
2,6,2013,36.0,64.5,17.5,0.0,84.9,31.7,129.2,5.5,34.5,9.0,not fire,1
1,6,2013,32.3,79.7,17.7,0.0,74.7,17.4,61.6,4.3,17.8,5.7,not fire,0
1,9,2013,29.3,63.9,17.5,0.2,78.4,19.5,104.0,4.4,24.2,6.7,not fire,0
12,6,2012,31.3,49.7,18.5,0.0,90.7,21.0,85.6,8.3,22.9,9.2,not fire,1
24,9,2012,33.0,54.3,20.2,0.0,90.3,25.2,86.2,7.3,25.5,9.0,not fire,0
20,9,2013,28.0,73.2,17.9,0.0,77.5,7.5,33.6,3.7,8.5,3.9,not fire,1
6,7,2012,33.0,69.8,15.5,0.0,87.7,14.2,62.4,5.8,16.0,6.5,not fire,0
3,9,2012,35.4,56.6,17.4,5.0,77.4,20.2,76.1,5.3,21.3,6.9,not fire,1
18,6,2013,28.0,82.9,13.4,0.0,71.7,10.7,70.0,1.8,14.8,3.5,not fire,0
18,6,2013,26.1,60.0,16.7,0.0,79.6,8.4,29.7,6.9,8.6,6.1,not fire,0
31,7,2012,32.5,63.6,16.4,0.0,79.6,17.8,81.3,4.8,20.5,6.4,not fire,0
6,6,2013,33.8,76.9,13.7,0.0,77.7,12.4,48.5,4.8,13.2,5.3,not fire,1
26,6,2013,38.2,46.9,11.6,0.0,94.6,33.9,144.1,7.1,37.6,10.6,fire,0
29,8,2012,38.7,41.1,16.1,0.0,96.0,33.5,117.7,8.3,34.2,10.9,fire,1
30,9,2012,30.1,76.9,20.8,0.0,77.1,13.6,68.4,6.8,16.4,7.2,not fire,1
16,9,2013,33.4,72.6,16.8,0.0,79.7,21.1,88.2,5.4,23.3,7.3,not fire,0
12,8,2012,28.0,74.9,13.3,0.0,75.5,10.6,47.5,4.6,12.0,5.0,not fire,0
29,7,2013,27.5,57.4,13.4,0.0,80.2,17.2,76.0,4.5,19.4,6.1,not fire,1
4,7,2012,38.5,70.1,14.0,0.0,88.9,34.0,124.4,5.3,35.4,9.0,not fire,0
23,6,2012,33.3,54.8,12.1,0.0,81.5,22.4,81.2,4.4,23.2,6.6,not fire,0
4,9,2012,30.6,75.0,15.8,0.0,80.5,11.3,53.9,5.2,13.3,5.6,not fire,0
20,8,2012,29.2,85.4,16.5,5.0,67.6,12.7,58.7,1.9,14.7,3.6,not fire,1
14,6,2013,35.1,56.0,15.6,0.0,86.4,30.0,112.4,6.1,31.5,9.0,not fire,1
7,6,2012,33.6,73.9,13.1,0.0,86.9,16.9,62.8,5.0,17.7,6.2,not fire,1
30,8,2012,37.1,36.3,17.6,0.2,96.0,35.6,138.2,8.6,38.0,11.7,fire,0
28,6,2012,27.0,44.8,18.4,0.2,87.1,14.5,60.8,6.9,16.0,7.3,not fire,1
21,8,2013,35.0,47.9,13.7,10.0,69.7,23.1,104.7,2.4,26.4,5.6,not fire,0
10,9,2013,32.7,53.1,14.9,0.0,90.4,17.8,59.8,6.8,17.9,7.4,not fire,1
28,9,2012,30.9,48.1,19.8,0.0,84.8,18.9,83.1,7.5,21.3,8.4,not fire,0
10,9,2013,32.5,49.9,16.0,0.0,89.7,28.2,98.4,8.8,28.7,10.4,fire,1
27,8,2012,32.8,57.0,19.6,1.0,86.4,27.8,109.4,6.4,29.8,8.9,not fire,0
21,7,2012,36.7,47.4,13.2,0.0,95.3,32.0,116.0,7.9,33.1,10.5,fire,1
22,7,2012,35.3,52.4,16.5,0.0,95.4,32.2,112.8,10.0,32.9,11.9,fire,0
7,7,2013,33.8,60.8,16.1,0.0,84.6,23.3,93.4,7.8,25.2,9.2,not fire,1
1,9,2012,32.8,43.0,17.9,0.0,94.6,25.4,102.0,7.3,27.5,9.2,fire,1
30,8,2012,36.2,61.5,10.3,0.0,83.6,33.0,109.8,5.5,33.0,8.8,not fire,1
4,9,2012,32.2,73.5,15.7,0.0,82.5,15.8,78.0,5.2,18.9,6.5,not fire,0
6,6,2012,31.7,71.3,14.8,0.0,78.2,12.8,57.9,3.4,14.6,4.6,not fire,0
22,8,2013,30.7,54.4,16.0,10.0,64.6,21.3,84.4,1.8,22.9,4.7,not fire,1
14,9,2013,29.3,71.1,13.5,0.5,77.9,16.6,61.2,3.8,17.3,5.2,not fire,0
23,6,2013,36.2,59.0,15.7,0.0,87.1,25.8,76.4,8.0,24.7,9.3,not fire,1
18,8,2013,27.4,73.9,19.6,0.0,71.5,13.5,67.8,3.0,16.3,4.6,not fire,0
2,8,2013,32.1,64.1,14.6,0.0,84.0,16.6,64.8,5.1,17.7,6.2,not fire,0
31,9,2012,29.0,68.0,13.4,0.0,82.0,12.6,60.2,5.3,14.8,5.9,not fire,0
17,7,2013,33.8,62.3,20.6,0.0,91.6,19.9,85.5,7.7,22.2,8.7,not fire,1
1,9,2012,25.7,75.1,13.2,0.0,72.3,7.0,69.0,1.0,12.5,2.5,not fire,1
1,7,2013,29.9,73.8,18.3,0.0,81.9,3.9,23.6,6.3,5.1,5.2,not fire,1
30,9,2013,31.3,67.8,14.0,2.0,80.2,23.5,89.2,4.8,24.8,7.1,not fire,1
9,6,2013,30.9,61.5,16.9,0.0,87.7,20.9,79.3,8.2,22.0,9.0,not fire,1
7,9,2013,30.6,46.4,14.6,0.0,84.9,19.1,75.0,6.7,20.5,7.8,not fire,1
14,6,2013,28.9,70.5,15.9,0.0,81.6,13.8,57.3,5.9,15.2,6.4,not fire,1
7,8,2013,39.9,46.5,13.4,0.0,96.0,37.5,129.1,9.3,38.0,12.2,fire,0
6,6,2012,36.5,51.8,14.4,0.0,90.9,32.4,130.8,7.8,35.1,10.7,fire,0
11,8,2012,38.6,35.4,19.2,0.0,96.0,45.7,155.1,9.4,46.0,13.5,fire,1
28,8,2013,38.2,59.5,16.0,0.0,92.5,38.4,148.7,9.6,40.9,12.9,fire,1
8,6,2013,30.2,55.8,15.2,10.0,73.7,19.1,71.4,3.1,20.0,5.2,not fire,0
9,7,2013,35.0,35.3,14.9,0.0,96.0,27.3,118.7,8.5,30.6,10.5,fire,0
19,7,2013,26.7,43.9,15.4,1.0,88.7,5.2,25.3,7.5,6.1,6.2,not fire,0
20,6,2012,29.2,65.5,15.5,0.0,82.3,13.8,61.1,5.6,15.6,6.3,not fire,1
30,6,2012,31.5,74.6,14.5,0.0,83.6,12.5,81.8,7.5,17.3,7.9,not fire,0
17,7,2013,30.8,67.3,14.1,0.2,81.4,18.3,72.0,6.4,19.6,7.4,not fire,1
23,9,2013,32.4,59.8,18.1,0.0,84.2,17.9,99.5,6.4,22.7,7.9,not fire,1
25,8,2012,32.5,72.0,17.7,10.0,64.1,23.7,95.3,0.9,25.7,4.5,not fire,0
23,9,2013,28.3,82.2,17.4,0.5,78.4,13.4,62.6,5.5,15.6,6.2,not fire,0
11,7,2012,30.8,63.8,14.3,0.2,86.5,20.8,78.7,5.9,21.9,7.4,not fire,1
30,9,2012,32.9,48.3,15.2,0.0,96.0,23.3,82.0,10.4,23.8,10.9,fire,1
9,7,2013,28.3,66.3,16.2,0.0,82.8,12.6,70.8,5.6,16.0,6.3,not fire,0
2,6,2012,36.8,74.0,15.4,0.0,83.7,23.5,99.6,4.8,26.0,7.3,not fire,0
2,9,2012,41.7,46.3,14.7,0.2,96.0,31.6,105.0,8.9,31.6,10.9,fire,0
29,6,2012,31.2,72.4,15.2,0.0,82.7,16.9,75.8,5.3,19.2,6.6,not fire,1
22,6,2013,33.0,44.2,16.2,0.5,90.6,21.9,108.7,6.3,26.2,8.3,not fire,0
1,6,2012,27.3,60.5,21.3,0.0,81.2,8.5,52.2,7.0,11.4,6.6,not fire,0
17,8,2013,36.5,63.1,17.6,10.0,72.6,28.3,112.2,3.0,30.4,6.7,not fire,1
26,8,2013,32.4,49.8,22.0,0.0,91.0,19.5,76.7,8.4,20.9,9.0,fire,1
27,8,2012,36.7,28.8,18.9,0.0,96.0,29.4,135.7,9.4,33.9,11.7,fire,1
26,8,2012,35.5,71.0,16.3,0.0,88.7,27.7,76.6,7.9,25.8,9.4,not fire,1
12,7,2013,32.9,61.5,17.1,0.0,85.7,31.4,107.7,5.8,31.8,8.8,not fire,0
30,6,2012,26.7,88.4,15.9,0.0,66.3,4.6,38.2,2.2,7.3,2.6,not fire,0
5,6,2013,31.1,55.5,13.9,0.0,89.4,22.1,88.3,6.8,23.8,8.3,not fire,0
29,8,2013,29.7,65.2,14.2,0.0,83.9,19.4,79.3,4.1,21.2,6.1,not fire,0
20,7,2012,32.4,45.3,15.9,1.0,89.5,31.4,107.6,5.0,31.8,8.3,not fire,0
27,9,2012,28.9,66.9,15.0,2.0,74.5,16.9,68.4,3.5,18.4,5.2,not fire,0
18,7,2012,32.2,73.1,15.9,0.0,84.2,22.3,88.3,6.1,24.0,7.9,not fire,1
16,9,2013,38.1,51.2,14.8,0.0,94.9,29.3,109.9,8.3,30.8,10.4,fire,0
13,7,2012,30.1,72.2,19.4,0.0,81.3,17.0,52.0,5.4,16.4,6.3,not fire,0
24,6,2012,28.9,70.3,14.5,0.0,79.7,13.6,66.9,4.8,16.2,5.8,not fire,1
29,7,2013,30.4,67.3,18.2,0.0,79.2,8.5,55.0,4.5,11.7,4.9,not fire,1
18,7,2013,32.4,66.0,14.2,0.0,89.0,19.2,72.2,8.8,20.2,9.2,not fire,0
14,7,2012,26.9,48.6,16.6,0.0,84.5,16.7,83.1,5.9,20.0,7.1,not fire,1
21,8,2013,28.0,56.7,19.7,0.0,83.8,13.8,59.1,6.8,15.4,7.0,not fire,0
29,8,2013,27.6,84.0,15.3,5.0,67.5,9.2,45.3,2.4,10.9,3.3,not fire,0
14,7,2013,34.5,49.8,16.3,0.0,92.2,28.5,104.7,9.4,29.7,11.1,fire,0
14,8,2012,29.6,84.6,15.4,0.0,71.3,5.3,41.5,2.0,8.2,2.6,not fire,1
13,6,2013,35.5,56.0,13.8,0.0,85.5,29.5,116.4,6.4,31.7,9.2,not fire,0
6,6,2013,28.6,67.6,15.5,0.0,77.2,14.5,81.2,3.2,18.4,5.0,not fire,0
13,7,2012,32.1,61.0,13.7,0.0,91.2,22.2,81.0,7.9,23.1,9.0,not fire,0
23,9,2012,36.9,64.9,15.6,0.0,86.3,29.3,114.6,5.8,31.3,8.8,not fire,1
27,8,2012,35.8,58.4,17.9,0.2,95.5,23.9,109.2,9.2,27.5,10.6,fire,0
11,7,2013,29.7,61.6,14.7,5.0,74.9,11.1,48.1,4.1,12.5,4.7,not fire,1
19,9,2013,36.0,47.7,17.4,10.0,73.6,29.0,113.2,2.5,31.0,6.4,not fire,1
29,7,2012,31.1,47.7,16.5,0.0,91.6,12.4,48.1,6.3,13.2,6.4,not fire,0
21,7,2013,39.0,36.2,14.1,0.0,96.0,41.3,137.7,9.0,41.3,12.5,fire,1
8,9,2013,30.1,59.2,15.4,0.0,88.3,15.6,77.5,4.7,18.7,6.1,not fire,1
2,8,2013,32.8,65.5,15.3,0.0,80.9,24.9,90.0,5.4,25.7,7.6,not fire,0
13,8,2012,32.3,49.8,18.0,0.0,88.4,24.2,78.7,6.5,24.0,8.1,not fire,0
20,9,2012,33.8,68.7,18.6,0.0,85.6,23.3,100.2,6.9,26.0,8.7,not fire,0
12,8,2012,31.7,63.0,17.3,0.0,85.0,18.2,64.2,6.1,18.6,7.1,not fire,1
17,8,2013,33.6,62.0,16.6,0.5,88.6,10.5,72.5,7.0,15.0,7.2,not fire,1
20,8,2013,35.9,46.8,17.0,5.0,80.6,29.7,102.5,6.3,30.1,8.9,not fire,1
22,8,2013,31.4,63.6,20.5,0.0,85.0,22.2,97.8,8.0,25.1,9.4,not fire,0
19,8,2013,37.7,43.0,16.3,10.0,74.3,36.5,126.9,3.9,37.1,8.3,not fire,1
9,8,2013,37.0,38.6,13.2,0.0,96.0,34.7,121.0,9.9,35.3,12.2,fire,1
11,6,2013,31.4,64.1,12.8,0.0,79.8,14.4,78.6,2.8,18.0,4.7,not fire,1
17,8,2013,30.9,66.3,13.7,0.0,80.9,25.8,107.1,4.5,28.3,7.4,not fire,1
16,7,2013,27.1,53.8,18.1,0.0,91.6,14.5,69.2,7.9,17.0,8.1,not fire,1
11,8,2012,33.4,59.1,16.9,0.0,82.4,21.8,75.6,4.5,22.2,6.5,not fire,1
15,9,2012,35.2,42.5,13.0,0.0,96.0,27.5,100.8,7.5,28.6,9.5,fire,1
13,8,2012,33.9,61.7,13.2,0.0,86.9,25.0,97.3,7.6,26.7,9.3,not fire,0
24,6,2013,32.4,67.8,15.6,0.0,83.8,21.2,70.6,6.9,21.2,8.0,not fire,0
8,9,2013,30.9,72.1,13.7,0.0,80.1,20.9,75.9,4.9,21.6,6.7,not fire,0
4,7,2012,27.8,72.3,17.1,0.0,79.6,15.2,81.7,3.4,18.9,5.2,not fire,0
14,6,2012,32.9,64.7,15.5,0.0,82.7,27.1,118.2,5.0,30.5,8.0,not fire,0
17,8,2012,34.0,76.3,14.6,0.0,81.3,16.3,61.9,4.4,17.2,5.7,not fire,1
17,9,2013,31.3,57.8,17.3,0.0,87.3,22.0,66.1,7.3,21.1,8.3,not fire,1
3,7,2013,37.9,58.4,13.7,0.0,91.1,26.4,105.5,6.4,28.5,8.8,not fire,1
25,8,2013,32.3,75.7,12.5,0.2,77.1,16.5,81.6,3.8,19.7,5.6,not fire,1
21,9,2013,32.7,58.9,15.8,0.2,86.1,16.7,61.2,5.7,17.4,6.6,not fire,1
27,6,2012,31.2,55.8,11.5,0.0,88.0,28.7,106.0,7.1,29.9,9.4,not fire,0
22,9,2012,32.3,61.6,17.8,0.5,83.9,22.2,92.5,5.6,24.4,7.6,not fire,1
21,8,2013,31.2,53.9,18.8,5.0,80.8,20.9,82.5,6.3,22.5,7.8,not fire,0
